Miejscowoœæ;Powiat;Województwo
Bardo;wrzesiñski;wielkopolskie
Barduñ;olsztyñski;warmiñsko-mazurskie
Bardy;ko³obrzeski;zachodniopomorskie
Bardyny;braniewski;warmiñsko-mazurskie
Bardzice;radomski;mazowieckie
Bardzinek;kutnowski;³ódzkie
Bardzlino;koszaliñski;zachodniopomorskie
Bardzynin;poddêbicki;³ódzkie
Bargêdzino;lêborski;pomorskie
Barg³ów Dworny;augustowski;podlaskie
Barg³ów Koœcielny;augustowski;podlaskie
Barg³ów Koœcielny (kolonie Pó³nocne);augustowski;podlaskie
Barg³ówka;augustowski;podlaskie
Barg³y;czêstochowski;œl¹skie
Bargów;sulêciñski;lubuskie
Bark;olsztyñski;warmiñsko-mazurskie
Barki;³êczyñski;lubelskie
Barkocin;bytowski;pomorskie
Barkowice;piotrkowski;³ódzkie
Barkowice Mokre;piotrkowski;³ódzkie
Barkowo;cz³uchowski;pomorskie
Barkowo (barkówko);trzebnicki;dolnoœl¹skie
Barkowo (rogowo);cz³uchowski;pomorskie
Barkowo (szyd³ów);trzebnicki;dolnoœl¹skie
Barkowo (wierzbina);trzebnicki;dolnoœl¹skie
Barkweda;olsztyñski;warmiñsko-mazurskie
Barlewice;sztumski;pomorskie
Barlewiczki;sztumski;pomorskie
Barlinek;myœliborski;zachodniopomorskie
Bar³ogi;kolski;wielkopolskie
Bar³omino;wejherowski;pomorskie
Bar³o¿nia Goœcieszyñska;wolsztyñski;wielkopolskie
Bar³o¿nia Goœcieszyñska (ruchocki M³yn);wolsztyñski;wielkopolskie
Bar³o¿nia Wolsztyñska;wolsztyñski;wielkopolskie
Bar³o¿no;starogardzki;pomorskie
Barniewice;kartuski;pomorskie
Barnim;pyrzycki;zachodniopomorskie
Barnimie;choszczeñski;zachodniopomorskie
Barnin;koszaliñski;zachodniopomorskie
Barnis³aw;policki;zachodniopomorskie
Barnis³awice;kamieñski;zachodniopomorskie
Barnkowo;gryfiñski;zachodniopomorskie
Barnowiec;bytowski;pomorskie
Barnowo;bytowski;pomorskie
Barnówko;myœliborski;zachodniopomorskie
Barszcze;augustowski;podlaskie
