0;Miasto;Powiat;Województwo;Populacja;Obszar
175;Pszczyna;pszczyñski;œl¹skie;25 999;22,5 km?
176;W¹growiec;w¹growiecki;wielkopolskie;25 178;18 km?
177;Bia³ogard;bia³ogardzki;zachodniopomorskie;24 722;26 km?
178;Sandomierz;sandomierski;œwiêtokrzyskie;24 552;29 km?
179;Kluczbork;kluczborski;opolskie;24 544;12,4 km?
180;Bartoszyce;bartoszycki;warmiñsko-mazurskie;24 527;11 km?
181;Szczytno;szczycieñski;warmiñsko-mazurskie;24 489;11 km?
182;Lubliniec;lubliniecki;œl¹skie;24 316;89 km?
183;Skawina;krakowski;ma³opolskie;24 260;20,5 km?
184;Koœcian;koœciañski;wielkopolskie;24 011;9 km?
185;Jawor;jaworski;dolnoœl¹skie;23 937;19 km?
186;Koœcierzyna;koœcierski;pomorskie;23 701;16 km?
187;Wieluñ;wieluñski;³ódzkie;23 546;16,9 km?
188;Nowa Ruda;k³odzki;dolnoœl¹skie;23 236;37 km?
189;Œwiebodzice;œwidnicki;dolnoœl¹skie;23 152;30 km?
190;Reda;wejherowski;pomorskie;23 135;34 km?
191;Ko³o;kolski;wielkopolskie;23 026;14 km?
192;Piastów;pruszkowski;mazowieckie;22 826;6 km?
193;Ostrów Mazowiecka;ostrowski;mazowieckie;22 796;22 km?
194;Goleniów;goleniowski;zachodniopomorskie;22 776;11,8 km?
195;Polkowice;polkowicki;dolnoœl¹skie;22 638;23,7 km?
196;Œroda Wielkopolska;œredzki;wielkopolskie;22 572;18 km?
197;Lubartów;lubartowski;lubelskie;22 543;14 km?
198;P³oñsk;p³oñski;mazowieckie;22 494;12 km?
199;£aziska Górne;miko³owski;œl¹skie;22 460;20 km?
200;Zambrów;zambrowski;podlaskie;22 451;19 km?
201;Grajewo;grajewski;podlaskie;22 246;19 km?
202;Mr¹gowo;mr¹gowski;warmiñsko-mazurskie;22 190;15 km?
203;Opoczno;opoczyñski;³ódzkie;22 188;24,8 km?
204;Œwiebodzin;œwiebodziñski;lubuskie;22 064;16,9 km?
205;Lubañ;lubañski;dolnoœl¹skie;21 921;16 km?
206;Rydu³towy;wodzis³awski;œl¹skie;21 847;15 km?
207;Prudnik;prudnicki;opolskie;21 778;20,5 km?
208;Gryfino;gryfiñski;zachodniopomorskie;21 578;9,6 km?
209;Hajnówka;hajnowski;podlaskie;21 559;21 km?
210;Dzia³dowo;dzia³dowski;warmiñsko-mazurskie;21 552;11 km?
211;Wieliczka;wielicki;ma³opolskie;21 318;13,4 km?
212;Aleksandrów £ódzki;zgierski;³ódzkie;21 245;13,8 km?
213;Andrychów;wadowicki;ma³opolskie;21 111;10,3 km?
214;Koby³ka;wo³omiñski;mazowieckie;20 855;20 km?
215;Rawicz;rawicki;wielkopolskie;20 846;7,7 km?
216;Che³mno;che³miñski;kujawsko-pomorskie;20 622;14 km?
217;Trzebinia;chrzanowski;ma³opolskie;20 302;31,9 km?
218;Koñskie;konecki;œwiêtokrzyskie;20 281;17,7 km?
219;Gostyñ;gostyñski;wielkopolskie;20 183;11,1 km?
220;Ozorków;zgierski;³ódzkie;20 175;15 km?
221;Kamienna Góra;kamiennogórski;dolnoœl¹skie;20 014;18 km?
222;Orzesze;miko³owski;œl¹skie;20 000;84 km?
223;Tomaszów Lubelski;tomaszowski;lubelskie;19 983;13 km?
224;£êczna;³êczyñski;lubelskie;19 926;19 km?
225;Józefów;otwocki;mazowieckie;19 914;24 km?
226;Bieruñ;bieruñsko-lêdziñski;œl¹skie;19 696;40 km?
227;Krasnystaw;krasnostawski;lubelskie;19 539;42 km?
228;Pisz;piski;warmiñsko-mazurskie;19 530;10,1 km?
229;Chodzie¿;chodzieski;wielkopolskie;19 399;13 km?
